date,team,total_wins,localwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-02-22T06:09:55Z,Hanwha Life Esports,25,0.287,8.8,1.696,6.401,0.2,LCK,4,0,2,0.3,2202.172,1653.094,-133,1147,0,215.743
2020-02-22T08:46:14Z,Griffin,17,0.34,8.5,1.985,7.434,0.2,LCK,6,1,0,0.319,1846.776,1877.8,1731,-44,1,215.635
2020-02-22T08:46:14Z,Hanwha Life Esports,25,0.287,1.333,1.453,6.439,0.2,LCK,-6,0,1,0.106,2642.608,1229.907,-1731,44,0,215.635
2020-02-22T09:53:09Z,Griffin,17,0.34,1.053,1.385,6.341,0.2,LCK,-4,0,0,0.213,2583.479,1528.509,-2775,-1697,0,215.588
2020-02-22T09:53:09Z,Hanwha Life Esports,25,0.287,9.667,1.576,6.888,0.2,LCK,4,1,1,0.675,2645.148,1986.035,2775,1697,1,215.588
2020-02-22T10:34:53Z,SeolHaeOne Prince,23,0.274,1.4,1.86,6.737,0.2,LCK,-2,1,0,0.158,2290.944,1158.503,2651,-144,1,215.559
2020-02-22T10:34:53Z,T1,65,0.677,8.6,1.619,7.034,0.2,LCK,2,0,1,0.316,2213.579,1724.881,-2651,144,0,215.559
2020-02-22T12:10:35Z,SeolHaeOne Prince,23,0.274,1.294,1.762,6.088,0.2,LCK,3,1,0,0.187,2449.023,1692.021,-451,-2665,1,215.493
2020-02-22T12:10:35Z,T1,65,0.677,9.286,1.976,7.127,0.2,LCK,-3,0,1,0.455,2671.968,1831.084,451,2665,0,215.493
2020-02-23T06:08:39Z,Afreeca Freecs,42,0.452,0.435,1.662,5.791,0.2,LCK,-1,1,0,0.092,2189.846,1626.339,-1811,-2926,0,214.744
2020-02-23T06:08:39Z,KT Rolster,43,0.467,26.667,1.791,6.474,0.2,LCK,1,0,1,0.708,2402.523,1739.169,1811,2926,1,214.744
2020-02-23T08:46:26Z,Afreeca Freecs,42,0.452,11.333,1.814,5.934,0.2,LCK,3,1,1,0.501,2443.042,2189.802,2157,-656,1,214.634
2020-02-23T08:46:26Z,KT Rolster,43,0.467,1,1.356,5.644,0.2,LCK,-3,0,0,0.158,2869.82,1648.563,-2157,656,0,214.634
2020-02-23T09:44:28Z,Afreeca Freecs,42,0.452,1.333,1.864,6.203,0.2,LCK,-3,0,0,0.135,1911.734,1738.568,-1904,-1634,0,214.594
2020-02-23T09:44:28Z,KT Rolster,43,0.467,10,1.707,6.408,0.2,LCK,3,1,2,0.405,2662.557,1420.306,1904,1634,1,214.594
2020-02-23T11:01:30Z,DAMWON Gaming,63,0.677,1.833,1.581,6.44,0.2,LCK,-1,1,1,0.155,2574.019,1879.308,111,-1078,0,214.541
2020-02-23T11:01:30Z,SANDBOX Gaming,38,0.409,9,1.952,6.781,0.2,LCK,1,0,0,0.372,2924.783,1953.13,-111,1078,1,214.541
2020-02-23T12:21:34Z,DAMWON Gaming,63,0.677,1.348,1.26,6.431,0.2,LCK,-3,1,0,0.288,3444.19,1994.266,-1563,-2711,1,214.485
