date,team,total_wins,worldwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-10-03T12:48:13Z,Fnatic,6,0.545,6.4,1.667,7.243,0.2,WCS,-1,0,2,0.351,1866.641,1202.311,-385,444,1,-204.804
2020-10-03T12:48:13Z,Team SoloMid,0,0,1.167,1.527,6.366,0.2,WCS,1,1,0,0.146,2104.242,1087.606,385,-444,0,-204.804
2020-10-04T07:13:10Z,Machi Esports,1,0.167,6.5,1.425,7.14,0.2,WCS,3,1,2,0.239,2155.64,1533.15,233,-688,1,-223.219
2020-10-04T07:13:10Z,Team Liquid,7,0.636,0.889,1.638,6.816,0.2,WCS,-3,0,0,0.106,1965.857,1117.244,-233,688,0,-223.219
2020-10-04T08:51:37Z,G2 Esports,8,0.571,3.429,1.7,5.64,0.2,WCS,-2,1,1,0.444,3329.767,3459.689,973,-1211,1,-224.86
2020-10-04T08:51:37Z,Suning,12,0.632,4.105,1.676,5.865,0.2,WCS,2,0,0,0.49,4339.587,2537.837,-973,1211,0,-224.86
2020-10-04T10:03:19Z,DAMWON Gaming,14,0.824,7.25,2.115,7.44,0.2,WCS,3,1,1,0.206,1829.926,1571.458,3196,2280,1,-226.055
2020-10-04T10:03:19Z,Rogue,1,0.167,1.857,1.272,6.38,0.2,WCS,-3,0,0,0.118,2396.613,826.627,-3196,-2280,0,-226.055
2020-10-04T11:04:17Z,JD Gaming,5,0.5,16.667,1.765,7.454,0.2,WCS,3,1,0,0.725,2488.23,1743.198,5611,2630,1,-227.071
2020-10-04T11:04:17Z,PSG Talon,6,0.545,0.706,1.066,6.192,0.2,WCS,-3,0,0,0.128,2225.757,1002.985,-5611,-2630,0,-227.071
2020-10-04T11:55:57Z,Gen.G,5,0.556,5.5,1.797,7.183,0.2,WCS,3,1,1,0.328,2628.538,2362.414,1851,-806,1,-227.933
2020-10-04T11:55:57Z,Team SoloMid,0,0,2.222,1.266,5.953,0.2,WCS,-3,0,0,0.218,3248.405,1260.218,-1851,806,0,-227.933
2020-10-04T12:49:41Z,Fnatic,6,0.545,1.167,1.353,6.923,0.2,WCS,-2,1,0,0.116,2016.854,1588.955,2683,623,1,-228.828
2020-10-04T12:49:41Z,LGD Gaming,11,0.647,10.5,1.591,7.493,0.2,WCS,2,0,0,0.348,2316.767,1408.838,-2683,-623,0,-228.828
2020-10-05T07:30:06Z,G2 Esports,8,0.571,5.067,1.812,6.673,0.2,WCS,2,0,1,0.621,3034.607,2178.689,2878,1337,1,-247.502
2020-10-05T07:30:06Z,Machi Esports,1,0.167,1.958,1.413,5.928,0.2,WCS,-2,1,1,0.388,2798.697,1947.386,-2878,-1337,0,-247.502
2020-10-05T08:51:29Z,Suning,12,0.632,19,1.903,7.357,0.2,WCS,5,1,0,0.374,2646.584,1506.708,5138,2745,1,-248.858
2020-10-05T08:51:29Z,Team Liquid,7,0.636,0.417,1.204,6.19,0.2,WCS,-5,0,1,0.062,2158.378,1327.145,-5138,-2745,0,-248.858
2020-10-05T09:51:29Z,DAMWON Gaming,14,0.824,5.714,1.571,7.264,0.2,WCS,2,1,1,0.536,2008.964,1801.679,2030,1741,1,-249.858
2020-10-05T09:51:29Z,PSG Talon,6,0.545,1.6,1.336,6.093,0.2,WCS,-2,0,0,0.25,2443.571,1257.786,-2030,-1741,0,-249.858
2020-10-05T10:46:43Z,JD Gaming,5,0.5,7.1,1.782,6.944,0.2,WCS,4,1,1,0.693,2638.68,2082.211,1850,-479,1,-250.779
2020-10-05T10:46:43Z,Rogue,1,0.167,1.333,1.281,6.297,0.2,WCS,-4,0,0,0.264,2868.647,1502.475,-1850,479,0,-250.779
2020-10-05T11:43:10Z,FlyQuest,3,0.5,2.778,1.627,6.169,0.2,WCS,-1,1,2,0.437,3009.472,2591.792,-82,-1222,1,-251.719
2020-10-05T11:43:10Z,Unicorns Of Love.CIS,6,0.429,3.375,1.359,5.618,0.2,WCS,1,0,0,0.491,3402.994,2192.293,82,1222,0,-251.719
